Week,Peak Power,Energy Produced
04/01/2023 - 04/07/2023,5.36 kW,145 kWh
04/08/2023 - 04/14/2023,5.36 kW,188 kWh
04/15/2023 - 04/21/2023,5.38 kW,207 kWh
04/22/2023 - 04/28/2023,5.37 kW,158 kWh
04/29/2023 - 04/30/2023,4.87 kW,33.5 kWh
April 2023 Total:,,731 kWh
Previous Month Total:,,183 kWh
Year to Date:,,915 kWh
Lifetime Production:,,915 kWh
