Week,Peak Power,Energy Produced
11/01/2023 - 11/07/2023,3.39 kW,44.7 kWh
11/08/2023 - 11/14/2023,1.87 kW,32.5 kWh
11/15/2023 - 11/21/2023,1.75 kW,30.3 kWh
11/22/2023 - 11/28/2023,1.66 kW,30.8 kWh
11/29/2023 - 11/30/2023,1.31 kW,6.76 kWh
November 2023 Total:,,145 kWh
Previous Month Total:,,330 kWh
Year to Date:,,5.39 MWh
Lifetime Production:,,5.55 MWh
