Week,Peak Power,Energy Produced
10/01/2023 - 10/07/2023,4.61 kW,104 kWh
10/08/2023 - 10/14/2023,4.49 kW,83.6 kWh
10/15/2023 - 10/21/2023,4.33 kW,72.7 kWh
10/22/2023 - 10/28/2023,3.65 kW,54.1 kWh
10/29/2023 - 10/31/2023,3.32 kW,15.0 kWh
October 2023 Total:,,330 kWh
Previous Month Total:,,616 kWh
Year to Date:,,5.25 MWh
Lifetime Production:,,5.55 MWh
