Date/Time,Power Delivered (W)
03/25/2023 01:35 PM EDT,"1,452"
03/25/2023 01:40 PM EDT,"1,860"
03/25/2023 01:45 PM EDT,"2,232"
03/25/2023 01:50 PM EDT,"1,752"
03/25/2023 01:55 PM EDT,"1,788"
03/25/2023 02:00 PM EDT,"2,088"
03/25/2023 02:05 PM EDT,"2,400"
03/25/2023 02:10 PM EDT,"2,196"
03/25/2023 02:15 PM EDT,"1,920"
03/25/2023 02:20 PM EDT,"2,472"
03/25/2023 02:25 PM EDT,"3,216"
03/25/2023 02:30 PM EDT,"2,796"
03/25/2023 02:35 PM EDT,"1,884"
03/25/2023 02:40 PM EDT,"1,464"
03/25/2023 02:45 PM EDT,"1,512"
03/25/2023 02:50 PM EDT,"1,500"
03/25/2023 02:55 PM EDT,"3,828"
03/25/2023 03:00 PM EDT,"4,272"
03/25/2023 03:05 PM EDT,"2,916"
03/25/2023 03:10 PM EDT,"2,904"
03/25/2023 03:15 PM EDT,"2,700"
03/25/2023 03:20 PM EDT,"4,368"
03/25/2023 03:25 PM EDT,"3,216"
03/25/2023 03:30 PM EDT,"2,124"
03/25/2023 03:35 PM EDT,"3,360"
03/25/2023 03:40 PM EDT,"2,796"
03/25/2023 03:45 PM EDT,"3,216"
03/25/2023 03:50 PM EDT,"2,448"
03/25/2023 03:55 PM EDT,"4,320"
03/25/2023 04:00 PM EDT,"4,260"
03/25/2023 04:05 PM EDT,"4,116"
03/25/2023 04:10 PM EDT,"3,456"
03/25/2023 04:15 PM EDT,"2,904"
03/25/2023 04:20 PM EDT,"2,580"
03/25/2023 04:25 PM EDT,"2,124"
03/25/2023 04:30 PM EDT,"1,656"
03/25/2023 04:35 PM EDT,"1,296"
03/25/2023 04:40 PM EDT,996
03/25/2023 04:45 PM EDT,912
03/25/2023 04:50 PM EDT,720
03/25/2023 04:55 PM EDT,504
03/25/2023 05:00 PM EDT,408
03/25/2023 05:05 PM EDT,348
03/25/2023 05:10 PM EDT,336
03/25/2023 05:15 PM EDT,396
03/25/2023 05:20 PM EDT,516
03/25/2023 05:25 PM EDT,480
03/25/2023 05:30 PM EDT,396
03/25/2023 05:35 PM EDT,324
03/25/2023 05:40 PM EDT,312
03/25/2023 05:45 PM EDT,288
03/25/2023 05:50 PM EDT,264
03/25/2023 05:55 PM EDT,240
03/25/2023 06:00 PM EDT,228
03/25/2023 06:05 PM EDT,216
03/25/2023 06:10 PM EDT,192
03/25/2023 06:15 PM EDT,192
03/25/2023 06:20 PM EDT,168
03/25/2023 06:25 PM EDT,144
03/25/2023 06:30 PM EDT,144
03/25/2023 06:35 PM EDT,120
03/25/2023 06:40 PM EDT,120
03/25/2023 06:45 PM EDT,96
