Serial Number,Energy Production (kWh)
482247124861,48.2
482247125140,49.2
482247125184,47.3
482247125890,48.1
482247125947,48.7
482247125951,47.6
482247131400,48.7
482247131504,48.9
482247131531,47.4
482247131585,46.3
482247131616,48.9
482247131617,47.6
482247131750,48.3
482247131755,48.9
482247131756,48.1
482247131798,48.4
482247131850,48.9
482247131852,48.4
Total,868.0
