Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2023-12-01 00:00:00 -0500,0,0,0,0
2023-12-01 00:15:00 -0500,0,0,0,0
2023-12-01 00:30:00 -0500,0,0,0,0
2023-12-01 00:45:00 -0500,0,0,0,0
2023-12-01 01:00:00 -0500,0,0,0,0
2023-12-01 01:15:00 -0500,0,0,0,0
2023-12-01 01:30:00 -0500,0,0,0,0
2023-12-01 01:45:00 -0500,0,0,0,0
2023-12-01 02:00:00 -0500,0,0,0,0
2023-12-01 02:15:00 -0500,0,0,0,0
2023-12-01 02:30:00 -0500,0,0,0,0
2023-12-01 02:45:00 -0500,0,0,0,0
2023-12-01 03:00:00 -0500,0,0,0,0
2023-12-01 03:15:00 -0500,0,0,0,0
2023-12-01 03:30:00 -0500,0,0,0,0
2023-12-01 03:45:00 -0500,0,0,0,0
2023-12-01 04:00:00 -0500,0,0,0,0
2023-12-01 04:15:00 -0500,0,0,0,0
2023-12-01 04:30:00 -0500,0,0,0,0
2023-12-01 04:45:00 -0500,0,0,0,0
2023-12-01 05:00:00 -0500,0,0,0,0
2023-12-01 05:15:00 -0500,0,0,0,0
2023-12-01 05:30:00 -0500,0,0,0,0
2023-12-01 05:45:00 -0500,0,0,0,0
2023-12-01 06:00:00 -0500,0,0,0,0
2023-12-01 06:15:00 -0500,0,0,0,0
2023-12-01 06:30:00 -0500,0,0,0,0
2023-12-01 06:45:00 -0500,0,0,0,0
2023-12-01 07:00:00 -0500,0,0,0,0
2023-12-01 07:15:00 -0500,1,4,0,3
2023-12-01 07:30:00 -0500,7,11,0,4
2023-12-01 07:45:00 -0500,25,29,0,4
2023-12-01 08:00:00 -0500,37,42,0,5
2023-12-01 08:15:00 -0500,64,70,0,7
2023-12-01 08:30:00 -0500,69,72,0,3
2023-12-01 08:45:00 -0500,93,96,0,3
2023-12-01 09:00:00 -0500,102,106,0,4
2023-12-01 09:15:00 -0500,95,98,0,3
2023-12-01 09:30:00 -0500,162,168,0,7
2023-12-01 09:45:00 -0500,240,243,0,3
2023-12-01 10:00:00 -0500,199,200,0,1
2023-12-01 10:15:00 -0500,232,236,0,4
2023-12-01 10:30:00 -0500,314,322,0,8
2023-12-01 10:45:00 -0500,211,212,0,1
2023-12-01 11:00:00 -0500,171,172,0,1
2023-12-01 11:15:00 -0500,230,234,0,4
2023-12-01 11:30:00 -0500,209,209,0,0
2023-12-01 11:45:00 -0500,284,291,0,7
2023-12-01 12:00:00 -0500,236,236,0,0
2023-12-01 12:15:00 -0500,308,311,0,3
2023-12-01 12:30:00 -0500,297,302,0,5
2023-12-01 12:45:00 -0500,216,216,0,0
2023-12-01 13:00:00 -0500,142,146,0,4
2023-12-01 13:15:00 -0500,109,112,0,3
2023-12-01 13:30:00 -0500,187,188,0,1
2023-12-01 13:45:00 -0500,199,204,0,5
2023-12-01 14:00:00 -0500,150,154,0,4
2023-12-01 14:15:00 -0500,150,156,0,6
2023-12-01 14:30:00 -0500,100,102,0,2
2023-12-01 14:45:00 -0500,91,94,0,3
2023-12-01 15:00:00 -0500,87,90,0,3
2023-12-01 15:15:00 -0500,101,106,0,5
