Sensor Name,Sensor Type,Timestamp,Temperature ( F ),Humidity ( RH ),Dew Point ( F ),Heat Index ( F ),Feels Like,Wind Chill,Barometric Pressure ( INHG ),Accumulated Rain,Wind Speed,Wind Average,Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected,UV Index,Light Intensity,Measured Light,Lightning Strike Count,Lightning Closest Strike Distance
Back Fence,Temp & Humidity Sensor,2022/12/17 12:00 AM,32.9,92.0,30.8,32.9,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 12:05 AM,32.9,92.0,30.8,32.9,,,29.91,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 12:10 AM,33.0,92.0,30.9,33.0,,,29.91,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 12:15 AM,33.0,92.0,30.9,33.0,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 12:20 AM,32.9,92.0,30.8,32.9,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 12:25 AM,32.9,92.0,30.8,32.9,,,29.91,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 12:30 AM,32.9,92.0,30.8,32.9,,,29.91,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 12:35 AM,32.9,92.0,30.8,32.9,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 12:40 AM,32.9,92.0,30.8,32.9,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 12:45 AM,32.9,92.0,30.8,32.9,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 12:50 AM,32.7,92.0,30.6,32.7,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 12:55 AM,32.5,92.0,30.4,32.5,,,29.91,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 1:00 AM,32.3,92.0,30.2,32.3,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 1:05 AM,32.5,92.0,30.4,32.5,,,29.91,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 1:10 AM,32.3,92.0,30.2,32.3,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 1:15 AM,32.3,92.0,30.2,32.3,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 1:20 AM,32.3,92.0,30.2,32.3,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 1:25 AM,32.3,92.0,30.2,32.3,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 1:30 AM,32.3,92.0,30.2,32.3,,,29.91,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 1:35 AM,32.3,93.0,30.5,32.3,,,29.91,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 1:40 AM,32.1,93.0,30.3,32.1,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 1:45 AM,32.0,93.0,30.2,32.0,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 1:50 AM,32.0,92.0,29.9,32.0,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 1:55 AM,32.0,92.0,29.9,32.0,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 2:00 AM,32.0,92.0,29.9,32.0,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 2:05 AM,31.8,95.0,30.5,31.8,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 2:10 AM,31.8,95.0,30.5,31.8,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 2:15 AM,31.6,95.0,30.3,31.6,,,29.93,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 2:20 AM,31.6,95.0,30.3,31.6,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 2:25 AM,31.4,95.0,30.1,31.4,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 2:30 AM,31.2,95.0,29.9,31.2,,,29.92,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 2:35 AM,31.2,95.0,29.9,31.2,,,29.93,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/12/17 2:40 AM,31.2,95.0,29.9,31.2,,,29.93,,,,,,,,,,,,,
