Week,Peak Power,Energy Produced
03/01/2023 - 03/07/2023,0 W,0 Wh
03/08/2023 - 03/14/2023,0 W,0 Wh
03/15/2023 - 03/21/2023,3.70 kW,5.47 kWh
03/22/2023 - 03/28/2023,5.21 kW,113 kWh
03/29/2023 - 03/31/2023,5.33 kW,65.4 kWh
March 2023 Total:,,184 kWh
Previous Month Total:,,0 Wh
Year to Date:,,184 kWh
Lifetime Production:,,187 kWh
