Serial Number,Energy Production (kWh)
482247124861,47.0
482247125140,48.3
482247125184,46.2
482247125890,46.6
482247125947,47.6
482247125951,46.1
482247131400,47.5
482247131504,47.8
482247131531,45.9
482247131585,45.1
482247131616,47.9
482247131617,46.4
482247131750,46.8
482247131755,47.8
482247131756,46.8
482247131798,46.9
482247131850,48.0
482247131852,47.3
Total,845.9
