Serial Number,Energy Production (kWh)
482247124861,48.5
482247125140,49.2
482247125184,47.9
482247125890,47.3
482247125947,47.0
482247125951,47.1
482247131400,47.1
482247131504,47.3
482247131531,47.1
482247131585,46.9
482247131616,49.0
482247131617,47.9
482247131750,47.1
482247131755,49.1
482247131756,46.8
482247131798,47.3
482247131850,49.0
482247131852,48.7
Total,860.3
