Week,Peak Power,Energy Produced
12/01/2023 - 12/07/2023,1.37 kW,25.5 kWh
12/08/2023 - 12/14/2023,1.60 kW,29.3 kWh
12/15/2023 - 12/21/2023,1.42 kW,22.3 kWh
12/22/2023 - 12/28/2023,1.78 kW,31.2 kWh
12/29/2023 - 12/31/2023,1.77 kW,13.3 kWh
December 2023 Total:,,122 kWh
Previous Month Total:,,145 kWh
Year to Date:,,5.52 MWh
Lifetime Production:,,5.55 MWh
