Week,Peak Power,Energy Produced
08/01/2023 - 08/07/2023,5.37 kW,163 kWh
08/08/2023 - 08/14/2023,5.37 kW,197 kWh
08/15/2023 - 08/21/2023,5.36 kW,214 kWh
08/22/2023 - 08/28/2023,5.37 kW,181 kWh
08/29/2023 - 08/31/2023,5.35 kW,60.0 kWh
August 2023 Total:,,815 kWh
Previous Month Total:,,868 kWh
Year to Date:,,4.30 MWh
Lifetime Production:,,5.55 MWh
