Week,Peak Power,Energy Produced
09/01/2023 - 09/07/2023,5.35 kW,213 kWh
09/08/2023 - 09/14/2023,5.20 kW,147 kWh
09/15/2023 - 09/21/2023,5.03 kW,153 kWh
09/22/2023 - 09/28/2023,4.58 kW,85.1 kWh
09/29/2023 - 09/30/2023,3.83 kW,17.1 kWh
September 2023 Total:,,616 kWh
Previous Month Total:,,815 kWh
Year to Date:,,4.92 MWh
Lifetime Production:,,5.55 MWh
