Week,Peak Power,Energy Produced
06/01/2023 - 06/07/2023,5.37 kW,186 kWh
06/08/2023 - 06/14/2023,5.37 kW,232 kWh
06/15/2023 - 06/21/2023,5.36 kW,175 kWh
06/22/2023 - 06/28/2023,5.37 kW,192 kWh
06/29/2023 - 06/30/2023,5.23 kW,61.1 kWh
June 2023 Total:,,846 kWh
Previous Month Total:,,860 kWh
Year to Date:,,2.62 MWh
Lifetime Production:,,5.55 MWh
