Week,Peak Power,Energy Produced
07/01/2023 - 07/07/2023,5.35 kW,200 kWh
07/08/2023 - 07/14/2023,5.37 kW,183 kWh
07/15/2023 - 07/21/2023,5.37 kW,196 kWh
07/22/2023 - 07/28/2023,5.37 kW,217 kWh
07/29/2023 - 07/31/2023,5.37 kW,72.5 kWh
July 2023 Total:,,868 kWh
Previous Month Total:,,846 kWh
Year to Date:,,3.49 MWh
Lifetime Production:,,5.55 MWh
