Sensor Name,Sensor Type,Timestamp,Temperature ( F ),Humidity ( RH ),Dew Point ( F ),Heat Index ( F ),Feels Like,Wind Chill,Barometric Pressure ( INHG ),Accumulated Rain,Wind Speed,Wind Average,Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected,UV Index,Light Intensity,Measured Light,Lightning Strike Count,Lightning Closest Strike Distance
In home  (w/display),Temp & Humidity Sensor,2025/10/17 12:00 AM,69.8,55.0,52.9,69.1,,,30.08,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 12:05 AM,69.8,55.0,52.9,69.1,,,30.08,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 12:10 AM,69.8,55.0,52.9,69.1,,,30.08,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 12:15 AM,69.8,55.0,52.9,69.1,,,30.08,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 12:20 AM,69.8,55.0,52.9,69.1,,,30.08,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 12:25 AM,69.6,56.0,53.2,68.9,,,30.08,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 12:30 AM,69.6,56.0,53.2,68.9,,,30.08,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 12:35 AM,69.6,56.0,53.2,68.9,,,30.08,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 12:40 AM,69.6,56.0,53.2,68.9,,,30.08,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 12:45 AM,69.6,56.0,53.2,68.9,,,30.08,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 12:50 AM,69.6,56.0,53.2,68.9,,,30.08,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 12:55 AM,69.4,56.0,53.0,68.7,,,30.08,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 1:00 AM,69.4,56.0,53.0,68.7,,,30.08,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 1:05 AM,69.4,56.0,53.0,68.7,,,30.09,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 1:10 AM,69.4,56.0,53.0,68.7,,,30.09,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 1:15 AM,69.4,56.0,53.0,68.7,,,30.09,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 1:20 AM,69.2,56.0,52.8,68.5,,,30.09,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 1:25 AM,69.0,56.0,52.6,68.2,,,30.09,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 1:30 AM,69.2,56.0,52.8,68.5,,,30.09,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 1:35 AM,69.2,56.0,52.8,68.5,,,30.09,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 1:40 AM,69.0,55.0,52.2,68.2,,,30.09,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 1:45 AM,69.0,56.0,52.6,68.2,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 1:50 AM,69.0,56.0,52.6,68.2,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 1:55 AM,69.0,55.0,52.2,68.2,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 2:00 AM,68.9,56.0,52.5,68.1,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 2:05 AM,68.9,56.0,52.5,68.1,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 2:10 AM,68.9,56.0,52.5,68.1,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 2:15 AM,68.9,56.0,52.5,68.1,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 2:20 AM,68.9,56.0,52.5,68.1,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 2:25 AM,68.9,56.0,52.5,68.1,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 2:30 AM,68.7,56.0,52.4,67.9,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 2:35 AM,68.9,56.0,52.5,68.1,,,30.11,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 2:40 AM,68.9,56.0,52.5,68.1,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 2:45 AM,68.7,56.0,52.4,67.9,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 2:50 AM,68.7,55.0,51.9,67.9,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 2:55 AM,68.7,55.0,51.9,67.9,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 3:00 AM,68.5,55.0,51.7,67.6,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 3:05 AM,68.5,55.0,51.7,67.6,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 3:10 AM,68.5,55.0,51.7,67.6,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 3:15 AM,68.5,55.0,51.7,67.6,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 3:20 AM,68.5,55.0,51.7,67.6,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 3:25 AM,68.5,55.0,51.7,67.6,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 3:30 AM,68.5,55.0,51.7,67.6,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 3:35 AM,68.3,55.0,51.5,67.4,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 3:40 AM,68.3,55.0,51.5,67.4,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 3:45 AM,68.3,55.0,51.5,67.4,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 3:50 AM,68.1,55.0,51.3,67.2,,,30.1,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2025/10/17 3:55 AM,68.1,55.0,51.3,67.2,,,30.1,,,,,,,,,,,,,
