Sensor Name,Sensor Type,Timestamp,Temperature ( F ),Humidity ( RH ),Dew Point ( F ),Heat Index ( F ),Feels Like,Wind Chill,Barometric Pressure ( INHG ),Accumulated Rain,Wind Speed,Wind Average,Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected,UV Index,Light Intensity,Measured Light,Lightning Strike Count,Lightning Closest Strike Distance
In home  (w/display),Temp & Humidity Sensor,2024/10/01 12:00 AM,70.8,51.0,51.8,70.0,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 12:05 AM,70.7,52.0,52.2,69.9,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 12:10 AM,70.8,51.0,51.8,70.0,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 12:15 AM,71.2,52.0,52.7,70.5,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 12:20 AM,70.8,51.0,51.8,70.0,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 12:25 AM,70.7,52.0,52.2,69.9,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 12:30 AM,70.8,51.0,51.8,70.0,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 12:35 AM,71.0,52.0,52.5,70.2,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 12:40 AM,70.7,52.0,52.2,69.9,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 12:45 AM,70.7,52.0,52.2,69.9,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 12:50 AM,70.8,51.0,51.8,70.0,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 12:55 AM,71.0,52.0,52.5,70.2,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 1:00 AM,70.7,51.0,51.7,69.9,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 1:05 AM,70.8,51.0,51.8,70.0,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 1:10 AM,71.0,51.0,51.9,70.2,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 1:15 AM,70.8,52.0,52.3,70.0,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 1:20 AM,70.8,51.0,51.8,70.0,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 1:25 AM,71.2,51.0,52.1,70.4,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 1:30 AM,71.2,51.0,52.1,70.4,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 1:35 AM,70.8,51.0,51.8,70.0,,,29.92,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 1:40 AM,70.8,51.0,51.8,70.0,,,29.92,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 1:45 AM,71.2,51.0,52.1,70.4,,,29.93,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2024/10/01 1:50 AM,71.2,51.0,52.1,70.4,,,29.93,,,,,,,,,,,,,
