Sensor Name,Sensor Type,Timestamp,Temperature ( F ),Humidity ( RH ),Dew Point ( F ),Heat Index ( F ),Feels Like,Wind Chill,Barometric Pressure ( INHG ),Accumulated Rain,Wind Speed,Wind Average,Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected,UV Index,Light Intensity,Measured Light,Lightning Strike Count,Lightning Closest Strike Distance
In home  (w/display),Temp & Humidity Sensor,2026/05/05 1:15 PM,72.3,53.0,54.2,71.7,,,30.04,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 1:20 PM,71.7,53.0,53.6,71.1,,,30.04,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 1:25 PM,71.2,52.0,52.7,70.5,,,30.03,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 1:30 PM,71.0,53.0,53.0,70.3,,,30.03,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 1:35 PM,70.8,52.0,52.3,70.0,,,30.03,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 1:40 PM,71.0,52.0,52.5,70.2,,,30.03,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 1:45 PM,70.8,52.0,52.3,70.0,,,30.03,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 1:50 PM,70.8,53.0,52.8,70.1,,,30.03,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 1:55 PM,70.8,52.0,52.3,70.0,,,30.03,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 2:00 PM,71.0,52.0,52.5,70.2,,,30.03,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 2:05 PM,71.2,52.0,52.7,70.5,,,30.03,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 2:10 PM,71.2,52.0,52.7,70.5,,,30.03,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 2:15 PM,71.2,53.0,53.2,70.5,,,30.03,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 2:20 PM,71.2,53.0,53.2,70.5,,,30.03,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 2:25 PM,71.2,53.0,53.2,70.5,,,30.02,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 2:30 PM,71.2,53.0,53.2,70.5,,,30.02,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 2:35 PM,71.2,53.0,53.2,70.5,,,30.02,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 2:40 PM,71.2,53.0,53.2,70.5,,,30.02,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 2:45 PM,71.2,53.0,53.2,70.5,,,30.02,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 2:50 PM,71.4,53.0,53.4,70.7,,,30.02,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 2:55 PM,71.4,53.0,53.4,70.7,,,30.02,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 3:00 PM,71.4,53.0,53.4,70.7,,,30.01,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 3:05 PM,71.4,53.0,53.4,70.7,,,30.01,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 3:10 PM,71.4,53.0,53.4,70.7,,,30.01,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 3:15 PM,71.4,53.0,53.4,70.7,,,30.0,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/05/05 3:20 PM,71.4,53.0,53.4,70.7,,,30.01,,,,,,,,,,,,,
