Serial Number,Energy Production (Wh)
482247124861,642
482247125140,637
482247125184,637
482247125890,605
482247125947,608
482247125951,606
482247131400,609
482247131504,612
482247131531,607
482247131585,643
482247131616,642
482247131617,638
482247131750,603
482247131755,646
482247131756,614
482247131798,609
482247131850,640
482247131852,643
Total,"11,241"
