Serial Number,Energy Production (Wh)
482247124861,897
482247125140,843
482247125184,870
482247125890,797
482247125947,833
482247125951,819
482247131400,819
482247131504,835
482247131531,858
482247131585,894
482247131616,834
482247131617,899
482247131750,784
482247131755,874
482247131756,796
482247131798,790
482247131850,832
482247131852,848
Total,"15,122"
